type	id	parent	name	durationYears
C	Ccaece8da5e4aea6d7668843e	Fe826672943aaafccec5a32ca	Profesor de Enseñanza Media y Superior en la especialidad Biología	6
C	Ccaed15d09382f013ee9418c1	F4fe557edcf00f9363c02ceb3	Licenciado en Relaciones Internacionales	5
C	Ccaf23d96450ebfe8ca8f7af7	F1392c16b807d6730b79a2b71	Ingeniero/a en Alimentos	6
C	Ccaf3d59bed42113914db44fa	Fea6c855d1d59ae19d938cfd7	Técnico Universitario en Óptica y Contactología	3
C	Ccaf6c24f031b66dade7fdbbc	F1abd4cc941114f57d7d274d4	Técnico Instrumentista Musical en Contrabajo	3
C	Ccaf909236b1dd952dec7391f	Fe826672943aaafccec5a32ca	Licenciado/a en Ciencias de la Educación	6
C	Ccaff80ad3f61bf8192e9b90b	Facdb714e650bcf3fc8bd192f	Profesor/a de Enseñanza Secundaria y Superior en Ciencias de la Educación	6
C	Ccb051ca2d90dc297ec5c1852	F11f132fb223d72bd6a01967b	Ingeniero/a en Petróleo	6
C	Ccb08019a06b14ccb27290486	Fd224a09065df1ec3e3a8622d	Oboísta	3
C	Ccb0e1a1df9e1700f28c17c07	F2fd782c3104374213f0bda7e	Abogado	4
C	Ccb17d3df2cdaf6a8a3e519e7	F0f0fc0fb9ffcd032e42bfd91	Licenciado en Imagen y Sonido	4
C	Ccb1e66bf1e3d17a391f612f2	F1abd4cc941114f57d7d274d4	Licenciado en Canto Popular	5
C	Ccb22f154257fb86e0065689a	Fd15dd301972ec57934f985e3	Licenciado en Ciencias de la Atmósfera	5
C	Ccb262ad10efd241e7ad027a6	Fe393180811912102bd3a830b	Licenciado/a en Economía	5
C	Ccb298f1fb1a0169d8aacabab	F84bd77f9eff79d6fd3bab273	Licenciado/a en Instrumentación Quirúrgica	4
C	Ccb2c8e6eb8d50a87e29b3b3a	F8f63b73c6de242e7a40119d2	Martillero Público y Corredor de Comercio	2
C	Ccb2d2e784f5d537360f4ed58	Fe393180811912102bd3a830b	Licenciado en Filosofía	6
C	Ccb2f89f39ad2463efb8247c9	F8f4c5be5e21987f332290e96	Licenciado en Diseño de Indumentaria	4
